circuit_id,robustness,angle_correlation.overall_pearson_r
0,robust,-0.2983640542
1,fragile,-0.3298865648
2,robust,-0.2879372165
3,robust,-0.2959302875
4,robust,-0.2539647039
5,fragile,-0.2238041895
6,fragile,-0.4071899676
7,robust,-0.2285263439
8,fragile,-0.2892738051
9,robust,-0.270776588
10,robust,-0.2251313888
11,robust,-0.2513078419
12,robust,-0.2781956279
13,fragile,-0.3715245462
14,fragile,-0.2654033458
15,fragile,-0.3157742967
16,robust,-0.2450484813
17,robust,-0.2005601635
18,fragile,-0.4292936631
19,robust,-0.2325457947
20,robust,-0.1960567042
21,robust,-0.2146406729
22,robust,-0.2916080889
23,robust,-0.355178023
24,robust,-0.3398167726
25,robust,-0.2443313371
26,robust,-0.2783171953
27,fragile,-0.3240891741
28,robust,-0.371167953
29,robust,-0.381719069
30,robust,-0.3285884643
31,robust,-0.3176448702
32,robust,-0.2576900003
33,robust,-0.1736170269
34,fragile,-0.3997156228
35,fragile,-0.355700433
36,fragile,-0.2861907302
37,robust,-0.2376038729
38,robust,-0.3311663118
39,fragile,-0.2202756131
40,fragile,-0.1998384243
41,fragile,-0.3293542911
42,fragile,-0.2569620382
43,fragile,-0.3060534431
44,robust,-0.2012035564
45,robust,-0.3723744228
46,fragile,-0.3071378051
47,robust,-0.2977345115
48,robust,-0.2314873944
49,robust,-0.3660950619
50,fragile,-0.2965526527
51,fragile,-0.2058348135
52,robust,-0.210625625
53,robust,-0.19863795
54,robust,-0.3197762055
55,robust,-0.24185292
56,robust,-0.2234734586
57,robust,-0.2646522448
58,robust,-0.1996770915
59,robust,-0.3633275295
60,fragile,-0.3714743682
61,fragile,-0.3828609405
62,robust,-0.2558667003
63,robust,-0.3712054557
64,robust,-0.2598094567
65,robust,-0.310898913
66,robust,-0.2496692983
67,robust,-0.3246083434
68,robust,-0.1919841892
69,robust,-0.1774041823
70,robust,-0.3427503383
71,robust,-0.3156078954
72,robust,-0.2872548059
73,robust,-0.1998894756
74,robust,-0.2198129177
75,robust,-0.2298771483
76,robust,-0.2091637071
77,robust,-0.3590255008
78,fragile,-0.2082193095
79,robust,-0.2972574949
80,robust,-0.2490779444
81,robust,-0.2645882418
82,robust,-0.2093219617
83,robust,-0.2674266895
84,robust,-0.3419093826
85,fragile,-0.3587992621
86,robust,-0.3374723
87,robust,-0.1950998874
88,fragile,-0.299129863
89,robust,-0.2769249866
90,fragile,-0.2729012145
91,fragile,-0.3758982597
92,fragile,-0.3935084391
93,robust,-0.3675904875
94,robust,-0.2796732202
95,robust,-0.2533964422
96,robust,-0.2970649222
97,robust,-0.2728182215
98,robust,-0.1444448772
99,robust,-0.3260774085